DATE,SalesPersonCode,Time,NetAmount
2023-01-03,265,12:17 PM,1850.0
2023-01-03,265,12:17 PM,975.0
2023-01-03,265,12:18 PM,4975.0
2023-01-03,265,12:18 PM,4975.0
2023-01-03,265,12:46 PM,6450.0
2023-01-03,265,1:08 PM,4975.0
2023-01-03,265,1:08 PM,1850.0
2023-01-03,265,1:08 PM,1850.0
2023-01-03,265,1:26 PM,3975.0
2023-01-03,265,1:27 PM,8950.0
2023-01-03,265,1:27 PM,490.0
2023-01-03,265,1:27 PM,475.0
2023-01-03,265,2:21 PM,4975.0
2023-01-03,265,2:22 PM,4975.0
2023-01-03,265,2:22 PM,4975.0
2023-01-03,265,2:23 PM,5750.0
2023-01-03,265,3:33 PM,1090.0
2023-01-03,265,4:35 PM,3750.0
2023-01-03,265,4:35 PM,3750.0
2023-01-03,265,4:51 PM,1290.0
2023-01-03,265,4:51 PM,1850.0
2023-01-03,265,5:05 PM,1100.0
2023-01-03,265,6:12 PM,2690.0
2023-01-03,265,7:19 PM,5750.0
2023-01-03,265,8:26 PM,490.0
2023-01-03,265,8:26 PM,6975.0
2023-01-03,265,8:32 PM,5750.0
2023-01-03,265,8:34 PM,2975.0
2023-01-03,265,8:34 PM,1850.0
2023-01-03,265,9:02 PM,1250.0
2023-01-03,430,2:59 PM,1975.0
2023-01-03,525,1:45 PM,2690.0
2023-01-03,525,4:48 PM,1090.0
2023-01-03,525,5:59 PM,2450.0
2023-01-03,544,2:05 PM,26.34
2023-01-03,544,5:10 PM,198.18
2023-01-03,544,2:27 PM,985.74
2023-01-03,544,1:40 PM,139.74
2023-01-03,544,2:02 PM,492.74
2023-01-03,544,4:16 PM,108.33
2023-01-03,544,4:30 PM,147.3
2023-01-03,544,10:57 AM,383.46
2023-01-03,544,4:21 PM,120.47
2023-01-03,544,2:59 PM,1337.7
2023-01-03,544,7:22 PM,310.7
2023-01-03,544,8:48 PM,950.3
2023-01-03,544,1:20 PM,50.6
2023-01-03,544,8:15 PM,367.58
2023-01-03,544,1:03 PM,110.82
2023-01-03,544,1:17 PM,125.21
2023-01-03,544,12:03 PM,75.75
2023-01-03,544,1:00 PM,5.67
2023-01-03,544,4:10 PM,76.73
2023-01-03,544,11:16 AM,86.64
2023-01-03,544,12:11 PM,109.22
2023-01-03,544,10:41 AM,180.1
2023-01-03,544,4:16 PM,207.35
2023-01-03,544,4:35 PM,96.76
2023-01-03,544,11:48 AM,2556.57
2023-01-03,544,6:17 PM,396.95
2023-01-03,544,5:21 PM,173.81
2023-01-03,544,3:49 PM,478.51
2023-01-03,544,5:24 PM,640.73
2023-01-03,544,12:29 PM,62.93
2023-01-03,544,12:50 PM,458.94
2023-01-03,544,11:38 AM,468.13
2023-01-03,544,7:42 PM,209.52
2023-01-03,544,7:35 PM,29.85
2023-01-03,544,2:26 PM,207.67
2023-01-03,544,8:09 PM,22.4
2023-01-03,544,12:36 PM,30.56
2023-01-03,544,7:36 PM,2684.96
2023-01-03,544,10:03 AM,22.72
2023-01-03,544,2:18 PM,542.32
2023-01-03,544,2:17 PM,50.19
2023-01-03,544,8:22 PM,114.43
2023-01-03,544,1:41 PM,1065.05
2023-01-03,544,11:40 AM,652.23
2023-01-03,544,10:14 AM,1093.1
2023-01-03,544,5:31 PM,123.26
2023-01-03,544,5:30 PM,121.84
2023-01-03,544,11:19 AM,67.41
2023-01-03,544,7:42 PM,77.49
2023-01-03,544,5:58 PM,376.32
2023-01-03,544,3:31 PM,802.68
2023-01-03,544,1:06 PM,892.56
2023-01-03,544,4:07 PM,581.19
2023-01-03,544,6:01 PM,322.25
2023-01-03,544,3:03 PM,505.72
2023-01-03,544,10:04 AM,163.79
2023-01-03,544,10:10 AM,529.45
2023-01-03,544,6:11 PM,102.48
2023-01-03,544,1:11 PM,705.92
2023-01-03,544,11:25 AM,582.64
2023-01-03,544,10:25 AM,96.39
2023-01-03,544,5:11 PM,43.49
2023-01-03,544,10:18 AM,183.76
2023-01-03,544,8:55 PM,18.31
2023-01-03,544,3:53 PM,28.1
2023-01-03,544,12:12 PM,4.95
2023-01-03,544,3:58 PM,183.22
2023-01-03,544,10:02 AM,69.32
2023-01-03,544,2:37 PM,9.16
2023-01-03,544,6:29 PM,111.64
2023-01-03,544,12:51 PM,163.87
2023-01-03,544,4:15 PM,437.79
2023-01-03,544,3:23 PM,30.1
2023-01-03,544,11:21 AM,2003.72
2023-01-03,544,7:21 PM,256.18
2023-01-03,544,1:11 PM,178.03
2023-01-03,544,1:51 PM,151.25
2023-01-03,544,3:52 PM,150.7
2023-01-03,544,7:12 PM,125.23
2023-01-03,544,6:34 PM,124.9
2023-01-03,544,8:40 PM,244.89
2023-01-03,544,5:10 PM,1048.1
2023-01-03,544,3:09 PM,16.73
2023-01-03,544,10:02 AM,90.43
2023-01-03,544,2:19 PM,38.69
2023-01-03,544,3:00 PM,96.05
2023-01-03,544,8:56 PM,831.41
2023-01-03,544,12:29 PM,382.54
2023-01-03,544,12:36 PM,476.05
2023-01-03,544,1:06 PM,70.19
2023-01-03,544,8:45 PM,190.54
2023-01-03,544,7:01 PM,64.87
2023-01-03,544,6:47 PM,281.26
2023-01-03,544,8:09 PM,368.14
2023-01-03,544,8:08 PM,420.81
2023-01-03,544,8:51 PM,197.87
2023-01-03,544,10:27 AM,820.31
2023-01-03,544,4:06 PM,51.01
2023-01-03,544,12:37 PM,304.23
2023-01-03,544,7:22 PM,274.66
2023-01-03,544,11:57 AM,74.66
2023-01-03,544,11:31 AM,836.45
2023-01-03,544,10:44 AM,251.09
2023-01-03,544,3:07 PM,112.95
2023-01-03,544,3:26 PM,136.76
2023-01-03,544,12:03 PM,74.2
2023-01-03,544,12:05 PM,272.39
2023-01-03,544,8:43 PM,141.08
2023-01-03,544,8:11 PM,394.84
2023-01-03,544,11:44 AM,56.84
2023-01-03,544,8:45 PM,384.85
2023-01-03,544,1:28 PM,417.18
2023-01-03,544,11:31 AM,238.2
2023-01-03,544,11:40 AM,2319.62
2023-01-03,544,6:19 PM,260.98
2023-01-03,544,10:16 AM,596.86
2023-01-03,544,4:18 PM,413.53
2023-01-03,544,12:01 PM,294.29
2023-01-03,544,8:48 PM,1409.34
2023-01-03,544,1:36 PM,899.24
2023-01-03,544,4:33 PM,529.5
2023-01-03,544,7:03 PM,1288.49
2023-01-03,544,7:02 PM,257.77
2023-01-03,544,7:41 PM,124.69
2023-01-03,544,8:15 PM,291.54
2023-01-03,544,12:48 PM,157.64
2023-01-03,544,2:54 PM,380.59
2023-01-03,544,7:37 PM,295.54
2023-01-03,544,3:12 PM,458.02
2023-01-03,544,2:06 PM,313.53
2023-01-03,544,10:27 AM,478.45
2023-01-03,544,10:42 AM,332.73
2023-01-03,544,6:12 PM,95.45
2023-01-03,544,6:42 PM,384.45
2023-01-03,544,2:47 PM,477.37
2023-01-03,544,7:18 PM,124.38
2023-01-03,544,6:10 PM,3142.32
2023-01-03,544,3:54 PM,344.86
2023-01-03,544,7:42 PM,238.44
